Name,LB,SMI,Atomic_Symbol,DFT_BF3_Affinity,Atomic_Number,Degree,Free_SASA,Atomic_Charge,Radial_Charge_1,Radial_Charge_2,Radial_Charge_3,Radial_Charge_4,Radial_Charge_5,Radial_Charge_6,Radial_Charge_7,Radial_Charge_8,Radial_Charge_9,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nHetero,nH,nC,nN,nO,nS,nP,nF,nCl,nBr,nX,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,C1SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,FCSP3,SZ,Sm,Sv,Sse,Spe,Sare,Sp,Si,MZ,Mm,Mv,Mse,Mpe,Mare,Mp,Mi,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n5Ring,n6Ring,nHRing,n5HRing,n6HRing,naRing,n6aRing,naHRing,n6aHRing,nARing,n5ARing,n6ARing,nAHRing,n5AHRing,n6AHRing,nFRing,nFARing,nRot,RotRatio,SLogP,SMR,Vabc,MW,AMW,Exp_BF3_Affinity
324_O1,324,C(C)OP1(OCC(CO1)(C)C)=O,O,27.658955,8,2,11.1944895,-0.28717,0.24287,-0.48435,-0.27638,-0.03169,-0.14258,0,0,0,0,0,0,0,27,12,5,15,7,0,4,0,1,0,0,0,0,27,12,26,1,0,0,1,26,1,0,0,0,0,6,0,0,1,1,17.33333333,16.1657449,15.1099597,27.39730517,26.19607843,26.624,17.08376946,30.8835142,0.641975309,0.598731293,0.559628137,1.014715006,0.970225127,0.986074074,0.632732202,1.143833859,12.05,0.222222222,4,0,28.529895,28.964105,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,2,0.166666667,2.204,44.9175,172.2600583,194.0707956,7.187807244,82.09
324_O2,324,C(C)OP1(OCC(CO1)(C)C)=O,O,33.25127,8,2,11.62864441,-0.28622,0.25397,-0.41859,-0.40787,-0.0762,0,0,0,0,0,0,0,0,27,12,5,15,7,0,4,0,1,0,0,0,0,27,12,26,1,0,0,1,26,1,0,0,0,0,6,0,0,1,1,17.33333333,16.1657449,15.1099597,27.39730517,26.19607843,26.624,17.08376946,30.8835142,0.641975309,0.598731293,0.559628137,1.014715006,0.970225127,0.986074074,0.632732202,1.143833859,12.05,0.222222222,4,0,28.529895,28.964105,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,2,0.166666667,2.204,44.9175,172.2600583,194.0707956,7.187807244,82.09
324_O3,324,C(C)OP1(OCC(CO1)(C)C)=O,O,32.7235445,8,2,11.78280514,-0.28622,0.25397,-0.41859,-0.40787,-0.0762,0,0,0,0,0,0,0,0,27,12,5,15,7,0,4,0,1,0,0,0,0,27,12,26,1,0,0,1,26,1,0,0,0,0,6,0,0,1,1,17.33333333,16.1657449,15.1099597,27.39730517,26.19607843,26.624,17.08376946,30.8835142,0.641975309,0.598731293,0.559628137,1.014715006,0.970225127,0.986074074,0.632732202,1.143833859,12.05,0.222222222,4,0,28.529895,28.964105,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,2,0.166666667,2.204,44.9175,172.2600583,194.0707956,7.187807244,82.09
324_O4,324,C(C)OP1(OCC(CO1)(C)C)=O,O,92.5376855,8,1,18.89775106,-0.2279,0.24641,-0.6132,-0.42571,-0.10789,-0.14258,0,0,0,0,0,0,0,27,12,5,15,7,0,4,0,1,0,0,0,0,27,12,26,1,0,0,1,26,1,0,0,0,0,6,0,0,1,1,17.33333333,16.1657449,15.1099597,27.39730517,26.19607843,26.624,17.08376946,30.8835142,0.641975309,0.598731293,0.559628137,1.014715006,0.970225127,0.986074074,0.632732202,1.143833859,12.05,0.222222222,4,0,28.529895,28.964105,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,2,0.166666667,2.204,44.9175,172.2600583,194.0707956,7.187807244,82.09
325_O1,325,COP1(=O)OCC(C)(C)CO1,O,18.243912,8,2,11.73872896,-0.29023,0.2313,-0.40815,-0.27638,-0.03169,-0.14258,0,0,0,0,0,0,0,24,11,5,13,6,0,4,0,1,0,0,0,0,24,11,23,1,0,0,1,23,1,0,0,0,0,4,0,0,1,1,16,14.99789876,13.56813189,24.50946832,23.47058824,23.864,15.28521497,27.46822456,0.666666667,0.624912448,0.565338829,1.021227847,0.977941176,0.994333333,0.636883957,1.144509357,11.05,0.25,4,0,25.526309,26.957691,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0.090909091,1.8139,40.3005,154.9640731,180.0551455,7.50229773,82.25
325_O2,325,COP1(=O)OCC(C)(C)CO1,O,82.3822515,8,1,18.86375911,-0.22791,0.24614,-0.61655,-0.4373,-0.03169,-0.14258,0,0,0,0,0,0,0,24,11,5,13,6,0,4,0,1,0,0,0,0,24,11,23,1,0,0,1,23,1,0,0,0,0,4,0,0,1,1,16,14.99789876,13.56813189,24.50946832,23.47058824,23.864,15.28521497,27.46822456,0.666666667,0.624912448,0.565338829,1.021227847,0.977941176,0.994333333,0.636883957,1.144509357,11.05,0.25,4,0,25.526309,26.957691,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0.090909091,1.8139,40.3005,154.9640731,180.0551455,7.50229773,82.25
325_O3,325,COP1(=O)OCC(C)(C)CO1,O,29.6149525,8,2,11.19815345,-0.28623,0.25371,-0.42193,-0.41946,0,0,0,0,0,0,0,0,0,24,11,5,13,6,0,4,0,1,0,0,0,0,24,11,23,1,0,0,1,23,1,0,0,0,0,4,0,0,1,1,16,14.99789876,13.56813189,24.50946832,23.47058824,23.864,15.28521497,27.46822456,0.666666667,0.624912448,0.565338829,1.021227847,0.977941176,0.994333333,0.636883957,1.144509357,11.05,0.25,4,0,25.526309,26.957691,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0.090909091,1.8139,40.3005,154.9640731,180.0551455,7.50229773,82.25
325_O4,325,COP1(=O)OCC(C)(C)CO1,O,33.56633,8,2,11.32658486,-0.28623,0.25371,-0.42193,-0.41946,0,0,0,0,0,0,0,0,0,24,11,5,13,6,0,4,0,1,0,0,0,0,24,11,23,1,0,0,1,23,1,0,0,0,0,4,0,0,1,1,16,14.99789876,13.56813189,24.50946832,23.47058824,23.864,15.28521497,27.46822456,0.666666667,0.624912448,0.565338829,1.021227847,0.977941176,0.994333333,0.636883957,1.144509357,11.05,0.25,4,0,25.526309,26.957691,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0.090909091,1.8139,40.3005,154.9640731,180.0551455,7.50229773,82.25
326_O1,326,C(C)OP1(OCCO1)=O,O,29.0583465,8,2,11.72998235,-0.28717,0.243,-0.48063,-0.23918,0,0,0,0,0,0,0,0,0,18,9,5,9,4,0,4,0,1,0,0,0,0,18,9,17,1,0,0,1,17,1,0,0,0,0,4,0,0,0,1,13.33333333,12.66220648,10.48447629,18.73379461,18.01960784,18.344,11.68810599,20.63764527,0.740740741,0.703455915,0.582470905,1.040766367,1.001089325,1.019111111,0.649339222,1.146535848,9.05,0.277777778,4,0,19.519137,22.944863,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0.222222222,1.1778,31.1365,120.3721026,152.0238454,8.445769189,83.62
326_O2,326,C(C)OP1(OCCO1)=O,O,30.62577,8,2,12.35657569,-0.28442,0.27263,-0.32465,-0.14933,-0.0762,0,0,0,0,0,0,0,0,18,9,5,9,4,0,4,0,1,0,0,0,0,18,9,17,1,0,0,1,17,1,0,0,0,0,4,0,0,0,1,13.33333333,12.66220648,10.48447629,18.73379461,18.01960784,18.344,11.68810599,20.63764527,0.740740741,0.703455915,0.582470905,1.040766367,1.001089325,1.019111111,0.649339222,1.146535848,9.05,0.277777778,4,0,19.519137,22.944863,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0.222222222,1.1778,31.1365,120.3721026,152.0238454,8.445769189,83.62
