LB,SMILES,Exp,DFT,Pred
52,C(C#N)Cl,44.0,36.714299499999996,38.862186
53,COCC#N,52.07,42.76136342018246,45.344536
54,CSCC#N,52.68,48.75917800021237,47.620174
55,C(CCl)C#N,53.09,47.048267499999994,39.85327
56,CC1=CC=CC=C1C#N,54.38,53.8745675,43.195816
57,CSC#N,55.3,49.10665786898007,53.14426
58,C1=CC=C(C=C1)C#N,55.44,51.39346999999999,36.162266
59,C1=CC=C(C=C1)CC#N,56.61,52.002585999999994,48.013348
60,CC1=CC=C(C=C1)C#N,58.05,54.2473885,47.885204
61,COC1=CC=C(C=C1)C#N,59.11,57.37147075085311,58.332314
62,CC(C)C#N,60.07,54.709476499999994,50.66241
63,CC#N,60.39,54.452177500000005,46.633305
64,C1C2CC3CC1CC(C2)(C3)C#N,60.5,58.5742125,60.923744
65,CCCCC#N,60.75,54.404918499999994,54.068516
66,CC(C)(C)C#N,60.92,56.108868,56.51253
67,CCC#N,60.95,53.535878,48.03819
68,C1CCC(CC1)C#N,61.16,56.3845455,49.62562
69,CCCC#N,61.18,54.071479999999994,49.372215
70,C1CC1C#N,63.17,56.597211,63.912582
71,CN(C)C#N,77.23,71.80401855765336,76.35464
72,C1CCN(CC1)C#N,78.15,74.83130423901935,68.36275
73,CCOCCC#N,64.79,57.85027937878769,59.02261
74,C1COCO1,68.63,66.80491838807656,53.66482
75,C1COCCO1,74.09,74.81853696524502,58.591988
76,COCCOC,74.67,73.99668551875506,57.238506
77,CC(C)OC(C)C,76.61,63.3263675,52.897762
78,CCCCOCCCC,78.57,85.819026,70.609245
79,CCOCC,78.77,81.45807049999999,67.261536
80,CCCOCCC,79.42,77.33341,67.866165
81,COC,83.55,70.2996955,54.18335
82,C1CCOCC1,85.36,78.96909649999999,80.27603
83,C1CCCOCC1,87.78,82.60803949999999,74.524704
84,C1CCOC1,90.4,86.5252855,75.9961
85,CC1CCOC1,92.25,87.0871425,78.387024
86,CC1CCCO1,92.83,82.10131799999999,83.59863
87,C1=CC(=CC=C1C=O)[N+](=O)[O-],62.32,59.04393269361515,55.694626
88,C1=CC(=CC=C1C=O)C#N,65.06,61.40229201920848,57.042053
89,CC=O,69.57,56.486940000000004,67.0205
90,C1=CC(=CC=C1C=O)Cl,73.51,70.753907,54.78802
91,C1=CC=C(C=C1)C=O,74.88,72.533996,55.64478
92,C1=CC(=CC=C1C=O)F,76.14,72.576004,52.3989
93,CC1=CC=C(C=C1)C=O,79.62,77.632717,65.24048
94,COC1=CC=C(C=C1)C=O,84.81,83.91028747961782,72.63816
95,CN(C)C1=CC=C(C=C1)C=O,103.21,98.95236531845526,81.01256
96,CC(C)(C)C(=O)C(C)(C)C,31.32,47.754526999999996,61.329613
97,CC(=O)CCl,57.49,54.5992055,52.923237
98,CC(=O)COC1=CC=CC=C1,60.24,64.74789415984503,70.44502
99,CC(=O)COC,67.46,68.67088201462883,59.64415
100,CC(C)C(=O)C(C)C,68.07,72.880562,73.117676
101,CC(=O)CC1=CC=CC=C1,68.65,69.897994,68.4872
102,CCCCC(=O)CCCC,70.7,76.53788349999999,69.24873
103,CCC(=O)CC,72.28,74.3219615,69.4387
104,CC(=O)C(C)(C)C,72.83,75.322277,74.273735
105,CCCC(=O)CCC,73.28,75.7344805,68.08133
106,CC(=O)CC(C)(C)C,73.32,76.887075,73.63915
107,CCC(C)C(C)=O,73.73,74.965209,77.895706
108,CCCCCCCCCC(C)=O,74.15,74.86018899999999,63.938217
109,CCCCCCC(C)=O,74.3,76.367226,66.66177
110,CCCCC(C)C(C)=O,74.47,77.265147,68.47912
111,CCCCC(C)=O,74.6,76.172939,71.26971
112,CC(C)CCC(C)=O,74.84,76.8109355,76.76657
113,CC(C)C(C)=O,74.84,75.731855,77.90345
114,CC(C)CC(C)=O,75.09,75.752859,73.85293
115,CC(=O)C12CC3CC(CC(C3)C1)C2,75.59,78.8325705,67.67792
116,CC(C)=O,76.03,72.218936,69.661865
117,CCC(C)=O,76.07,73.9858975,74.88913
118,CCCC(C)=O,76.19,75.695098,74.465096
119,CC(=O)C1CC1,83.2,82.6342945,72.2832
120,O=C(C1CC1)C2CC2,87.48,69.593436,59.88424
121,CC1CCCC(C)(C)C1=O,55.95,76.614023,65.51117
122,O=C1CCC1,70.3,66.65287599999999,66.945404
