ids,y,LB,DFT_Rank,Pred,GNN_Rank
284_2,109.763586,284,1.0,103.15577,1.0
285_1,34.6033975,285,2.0,39.077717,2.0
285_2,113.455039,285,1.0,109.0085,1.0
286_1,70.092281,286,2.0,53.962887,3.0
286_2,66.25642549999999,286,3.0,54.714115,2.0
286_3,110.72977,286,1.0,94.59464,1.0
287_1,50.314389500000004,287,2.0,45.833607,2.0
287_2,104.706873,287,1.0,101.097015,1.0
288_1,45.635748500000005,288,2.0,52.21744,2.0
288_2,89.8701725,288,1.0,100.460754,1.0
289_1,27.716711,289,2.0,12.757336,2.0
289_2,104.26841449999999,289,1.0,94.84428,1.0
29_1,112.2551855,29,1.0,98.979576,1.0
290_1,37.231522999999996,290,2.0,26.667906,2.0
290_2,108.49284399999999,290,1.0,108.8267,1.0
291_1,104.5362155,291,1.0,96.16919,1.0
291_2,37.732993500000006,291,2.0,19.534487,2.0
292_1,7.6290105,292,2.0,34.729877,2.0
292_2,114.76253799999999,292,1.0,107.402374,1.0
293_1,95.092292,293,2.0,116.09761,2.0
293_2,113.323764,293,1.0,131.73236,1.0
293_3,39.909532999999996,293,3.0,52.808407,3.0
293_4,39.86489950000001,293,4.0,52.601543,4.0
294_1,95.80905349999999,294,2.0,107.18941,2.0
294_2,114.893813,294,1.0,119.56309,1.0
294_3,53.722288500000005,294,3.0,61.348816,3.0
295_1,97.85431799999999,295,2.0,115.44246,2.0
295_2,117.44054799999999,295,1.0,131.74634,1.0
296_1,99.240582,296,2.0,115.13908,2.0
296_2,119.1024895,296,1.0,130.57115,1.0
297_1,111.50954349999999,297,2.0,114.59366,2.0
297_2,120.412614,297,1.0,131.35443,1.0
298_1,102.6353535,298,2.0,115.319336,2.0
298_2,121.96953549999999,298,1.0,129.56648,1.0
299_1,124.07518649999999,299,1.0,132.23401,1.0
299_2,103.3704935,299,2.0,115.466324,2.0
3_1,27.763969999999997,3,3.0,41.298138,3.0
3_2,68.1520365,3,2.0,94.37128,1.0
3_3,79.27365449999999,3,1.0,85.43962,2.0
30_1,120.1474385,30,1.0,113.85625,1.0
300_1,105.47877,300,2.0,114.086754,2.0
300_2,116.44285800000002,300,1.0,131.42592,1.0
300_3,76.151935,300,3.0,73.38889,3.0
301_1,135.7796655,301,1.0,137.19989,1.0
301_2,100.98653949999999,301,2.0,103.619415,2.0
302_1,23.190349,302,2.0,28.479134,1.0
302_2,30.287075499999997,302,1.0,28.474133,2.0
303_1,36.470128,303,1.0,31.1168,2.0
303_2,36.459626,303,2.0,31.191692,1.0
304_1,26.277936999999998,304,3.0,22.276583,3.0
304_2,-1.4919764999999998,304,4.0,-5.7557797,4.0
304_3,42.871097000000006,304,1.0,39.332226,1.0
304_4,34.6138995,304,2.0,22.329876,2.0
305_1,43.070634999999996,305,2.0,24.463509,2.0
305_2,-0.07420650000000073,305,4.0,-1.7916263,4.0
305_3,48.68657949999999,305,1.0,35.82995,1.0
305_4,32.996591499999994,305,3.0,24.215935,3.0
306_1,55.5391345,306,2.0,46.89388,1.0
306_2,55.628401499999995,306,1.0,46.736893,2.0
307_1,63.99587,307,3.0,50.964478,3.0
307_2,64.956803,307,2.0,52.235966,1.0
307_3,65.119584,307,1.0,51.180138,2.0
307_4,48.8283565,307,4.0,44.41281,4.0
308_1,26.5588655,308,3.0,35.117508,2.0
308_2,3.0921464999999984,308,4.0,3.9523258,4.0
308_3,55.381604499999995,308,1.0,49.729908,1.0
308_4,40.172083,308,2.0,35.051704,3.0
309_1,98.589458,309,1.0,44.855953,1.0
309_2,16.3981805,309,2.0,25.399656,2.0
31_1,112.62538099999999,31,1.0,97.837906,1.0
310_1,19.609166999999996,310,2.0,28.141409,2.0
310_2,101.2385875,310,1.0,113.93281,1.0
311_1,23.571046499999998,311,2.0,17.69332,2.0
311_2,105.221471,311,1.0,104.6167,1.0
312_1,32.852188999999996,312,2.0,29.304914,2.0
312_2,116.26169850000001,312,1.0,108.56966,1.0
313_1,26.682264,313,2.0,24.964333,2.0
313_2,112.730401,313,1.0,105.402626,1.0
314_1,71.300011,314,1.0,44.185375,1.0
314_2,22.263547499999998,314,3.0,18.489168,4.0
314_3,22.770268999999995,314,2.0,25.87454,2.0
314_4,21.040064499999996,314,4.0,24.741976,3.0
315_1,74.76829649999999,315,1.0,39.159794,1.0
315_2,22.308181,315,2.0,22.139242,3.0
315_3,15.487131999999999,315,4.0,22.446894,2.0
315_4,20.606857,315,3.0,21.963648,4.0
316_1,19.4700155,316,2.0,14.642918,2.0
316_2,15.613156,316,3.0,13.390072,3.0
316_3,58.823634999999996,316,1.0,15.495206,1.0
317_1,15.880956999999999,317,3.0,23.425531,4.0
317_2,27.0524595,317,2.0,24.66739,2.0
317_3,5.783283999999998,317,4.0,24.203035,3.0
317_4,88.2318605,317,1.0,52.747814,1.0
318_1,21.979993499999996,318,4.0,27.999777,2.0
318_2,25.1936055,318,3.0,26.11032,3.0
318_3,27.44891,318,2.0,25.347172,4.0
318_4,78.1604425,318,1.0,55.6645,1.0
319_1,15.636785499999998,319,4.0,26.968966,2.0
319_2,24.214294,319,2.0,25.463585,3.0
319_3,24.180162499999998,319,3.0,25.38959,4.0
